City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Floro,NO,2021-03-20 05:12:03,61.5996,5.0328,41.0,100,90,13.8
149,Asfi,MA,2021-03-20 05:12:03,32.2994,-9.2372,53.94,74,19,2.28
150,Namwala,ZM,2021-03-20 05:12:04,-15.7504,26.4384,62.4,96,0,4.47
151,Shieli,KZ,2021-03-20 05:12:04,44.1667,66.75,44.78,63,49,3.29
152,Souillac,MU,2021-03-20 05:12:04,-20.5167,57.5167,80.6,74,40,12.66
153,Les Cayes,HT,2021-03-20 05:10:18,18.2,-73.75,72.77,86,3,3.49
154,Vrede,ZA,2021-03-20 05:12:04,-27.4257,29.1659,54.88,93,14,4.21
155,Gat,IL,2021-03-20 05:08:02,31.61,34.7642,55.0,78,16,2.82
156,San Ramon De La Nueva Oran,AR,2021-03-20 05:12:05,-23.1322,-64.326,70.0,95,91,0.38
157,Kahta,TR,2021-03-20 05:12:05,37.7855,38.6237,42.8,87,75,5.75
158,Sao Felix Do Xingu,BR,2021-03-20 05:12:05,-6.6447,-51.995,69.73,99,100,0.56
159,Codrington,AU,2021-03-20 05:12:06,-38.2667,141.9667,77.07,51,12,17.18
160,Rundu,NA,2021-03-20 05:12:06,-17.9333,19.7667,63.61,82,19,3.76
161,Malanje,AO,2021-03-20 05:12:06,-9.5402,16.341,63.75,98,94,4.07
162,Kajiado,KE,2021-03-20 05:12:06,-1.8524,36.7768,64.4,82,75,11.5
163,Laguna,US,2021-03-20 05:12:07,38.421,-121.4238,50.0,76,1,6.91
164,Racale,IT,2021-03-20 05:12:07,39.9631,18.0938,46.99,87,75,5.75
165,Clyde River,CA,2021-03-20 05:12:07,70.4692,-68.5914,-18.4,76,1,5.75
166,Avila,ES,2021-03-20 05:12:08,40.5833,-5.0,30.0,87,95,11.01
167,Matara,LK,2021-03-20 05:12:08,5.9485,80.5353,87.37,57,97,2.17
168,Sinnamary,GF,2021-03-20 05:12:08,5.3833,-52.95,75.76,85,54,6.76
169,Ilulissat,GL,2021-03-20 05:12:08,69.2167,-51.1,19.4,49,100,14.97
170,Saint Anthony,US,2021-03-20 05:12:09,45.0205,-93.218,39.0,64,1,9.22
171,Port-Gentil,GA,2021-03-20 05:12:09,-0.7193,8.7815,77.56,82,100,5.57
172,Tabou,CI,2021-03-20 05:12:09,4.423,-7.3528,76.73,86,40,3.36
173,Dakar,SN,2021-03-20 05:11:24,14.6937,-17.4441,64.4,94,0,11.5
174,Pithora,IN,2021-03-20 05:12:10,21.2667,82.5167,91.63,25,44,5.23
175,Rio Gallegos,AR,2021-03-20 05:11:29,-51.6226,-69.2181,44.6,57,0,25.32
176,Segou,ML,2021-03-20 05:12:10,13.4317,-6.2157,80.74,14,82,8.39
177,Larsnes,NO,2021-03-20 05:12:10,62.2028,5.5773,43.0,81,75,3.44
178,Praia Da Vitoria,PT,2021-03-20 05:12:10,38.7333,-27.0667,57.99,88,40,8.86
179,San Francisco,US,2021-03-20 05:10:56,37.7749,-122.4194,51.8,82,75,14.97
180,Sur,OM,2021-03-20 05:12:11,22.5667,59.5289,90.5,29,0,4.72
181,Takoradi,GH,2021-03-20 05:12:11,4.8845,-1.7554,77.32,85,95,5.17
182,Cidreira,BR,2021-03-20 05:11:13,-30.1811,-50.2056,73.27,79,45,19.69
183,Omboue,GA,2021-03-20 05:12:11,-1.5746,9.2618,73.02,97,100,5.57
184,Dubrovytsya,UA,2021-03-20 05:12:12,51.5744,26.565,27.28,83,0,4.03
185,Carnarvon,AU,2021-03-20 05:12:12,-24.8667,113.6333,89.6,58,0,11.5
186,Atasu,KZ,2021-03-20 05:12:12,48.6814,71.6433,31.71,91,100,12.08
187,Korla,CN,2021-03-20 05:12:12,41.7597,86.1469,43.83,50,15,6.42
188,Salinas,US,2021-03-20 05:11:43,36.6777,-121.6555,51.8,71,1,11.5
189,Tumaco,CO,2021-03-20 05:12:13,1.7986,-78.8156,77.05,88,100,5.1
190,Quatre Cocos,MU,2021-03-20 05:12:13,-20.2078,57.7625,82.99,74,40,12.66
191,Pangnirtung,CA,2021-03-20 05:12:13,66.1451,-65.7125,-16.26,88,91,1.41
192,Puerto Colombia,CO,2021-03-20 05:12:14,10.9878,-74.9547,77.0,83,0,14.97
193,Ponta Do Sol,PT,2021-03-20 05:12:14,32.6667,-17.1,55.99,59,7,15.01
194,Stokmarknes,NO,2021-03-20 05:12:14,68.5646,14.9108,39.99,86,100,10.0
195,Bekobod,UZ,2021-03-20 05:12:15,40.2208,69.2697,60.8,51,20,8.95
196,Butembo,CD,2021-03-20 05:12:15,0.15,29.2833,59.32,91,74,3.02
197,Faya,SA,2021-03-20 05:12:15,18.3851,42.4509,64.4,48,0,2.77
198,Bonthe,SL,2021-03-20 05:12:16,7.5264,-12.505,75.31,83,60,4.92
199,Aksarka,RU,2021-03-20 05:12:16,66.5606,67.7975,-16.53,96,82,7.65
200,Taoudenni,ML,2021-03-20 05:12:16,22.6783,-3.9836,66.56,23,0,9.08
201,Puerto Leguizamo,CO,2021-03-20 05:12:17,-0.1934,-74.7819,73.87,83,100,1.92
202,Cherepovets,RU,2021-03-20 05:12:17,59.1333,37.9,8.6,92,0,2.24
203,Kenitra,MA,2021-03-20 05:12:17,34.261,-6.5802,50.0,93,40,5.75
204,Margate,GB,2021-03-20 05:12:17,51.3813,1.3862,41.0,78,9,4.0
205,Santa Margherita Ligure,IT,2021-03-20 05:12:18,44.3346,9.212,41.0,50,0,1.01
206,Yashkul,RU,2021-03-20 05:12:18,46.1711,45.3435,36.81,81,87,8.16
207,Severnoye,RU,2021-03-20 05:12:18,56.3491,78.3619,23.2,82,100,16.62
208,Piacabucu,BR,2021-03-20 05:12:18,-10.4056,-36.4344,77.09,85,1,8.61
209,Tambura,SS,2021-03-20 05:12:19,5.6,27.4667,73.24,73,71,3.69
210,Sakakah,SA,2021-03-20 05:09:07,29.9697,40.2064,55.4,41,0,3.44
211,Eslov,SE,2021-03-20 05:12:19,55.8393,13.3039,33.01,75,53,3.0
212,Angoche,MZ,2021-03-20 05:12:19,-16.2325,39.9086,78.31,85,96,4.38
213,Sinop,TR,2021-03-20 05:12:20,41.7711,34.8709,38.62,92,100,2.24
214,Wagar,SD,2021-03-20 05:12:20,16.1525,36.2032,71.64,70,0,12.3
215,Nador,MA,2021-03-20 05:12:20,35.174,-2.9287,51.8,82,75,20.71
216,Shelburne,CA,2021-03-20 05:12:20,44.0787,-80.2041,28.99,73,1,8.55
217,Coroiesti,RO,2021-03-20 05:12:21,46.25,27.4833,32.0,93,90,3.56
218,Hamilton,US,2021-03-20 05:12:21,39.1834,-84.5333,36.0,64,1,6.91
219,Comodoro Rivadavia,AR,2021-03-20 05:12:21,-45.8667,-67.5,60.8,44,0,20.71
220,Sarakhs,IR,2021-03-20 05:12:22,36.5449,61.1577,51.8,93,75,4.61
221,Ratodero,PK,2021-03-20 05:12:22,27.803,68.2871,91.99,12,53,7.65
222,Calbuco,CL,2021-03-20 05:11:16,-41.768,-73.1273,50.0,93,75,1.14
223,Calama,CL,2021-03-20 05:12:22,-22.4667,-68.9333,51.8,43,0,3.44
224,Maniitsoq,GL,2021-03-20 05:12:23,65.4167,-52.9,22.06,67,100,13.33
225,Bushehr,IR,2021-03-20 05:12:23,28.9684,50.8385,68.0,60,0,19.57
226,Bom Jesus,BR,2021-03-20 05:12:23,-9.0744,-44.3586,70.59,94,100,1.5
227,Araouane,ML,2021-03-20 05:12:23,18.9048,-3.5265,68.43,11,0,2.24
228,Saint-Joseph,RE,2021-03-20 05:12:24,-21.3667,55.6167,84.2,61,20,10.36
229,Antalaha,MG,2021-03-20 05:11:23,-14.9003,50.2788,80.37,73,28,6.55
