City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Thinadhoo,MV,0.5333,72.9333,83.21,69,16,8.16,few clouds
177,Itarema,BR,-2.9248,-39.9167,80.37,74,100,8.48,overcast clouds
178,Praia,CV,14.9215,-23.5087,69.8,68,40,18.41,scattered clouds
179,Buchanan,LR,5.8808,-10.0467,77.0,83,75,6.62,broken clouds
180,Correia Pinto,BR,-27.5847,-50.3611,72.63,95,100,1.39,moderate rain
181,Hofn,IS,64.2539,-15.2082,37.4,65,75,17.27,broken clouds
182,Bathsheba,BB,13.2167,-59.5167,82.4,54,20,19.57,few clouds
183,Jamame,SO,0.0722,42.7506,80.83,78,49,12.62,scattered clouds
184,Goderich,CA,43.7501,-81.7165,62.6,31,100,11.5,overcast clouds
185,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,40,7.02,scattered clouds
186,Sao Goncalo Dos Campos,BR,-12.4333,-38.9667,79.93,61,51,9.75,broken clouds
187,Port Elizabeth,ZA,-33.918,25.5701,60.8,94,20,3.44,few clouds
188,Rocha,UY,-34.4833,-54.3333,70.14,62,92,10.04,overcast clouds
189,Cayenne,GF,4.9333,-52.3333,78.8,89,75,3.44,light rain
190,Ponta Do Sol,PT,32.6667,-17.1,60.8,63,40,10.36,scattered clouds
191,San Carlos De Bariloche,AR,-41.1456,-71.3082,77.0,18,0,17.27,clear sky
192,Itamaraca,BR,-7.7478,-34.8256,80.6,65,20,9.22,few clouds
193,Pushkinskiye Gory,RU,57.0209,28.9103,18.16,92,6,3.11,clear sky
194,Nantucket,US,41.2835,-70.0995,53.6,58,1,11.5,clear sky
195,Kyshtovka,RU,56.555,76.6271,22.42,96,99,6.49,overcast clouds
196,Nykoping,SE,58.753,17.0079,42.8,56,0,9.22,clear sky
197,Narsaq,GL,60.9167,-46.05,23.0,54,40,4.61,scattered clouds
198,Barcelos,PT,41.5388,-8.6151,55.99,76,0,4.61,clear sky
199,Albany,US,42.6001,-73.9662,66.2,15,1,10.36,clear sky
200,Mutoko,ZW,-17.397,32.2268,65.17,75,41,9.06,scattered clouds
201,Carauari,BR,-4.8828,-66.8958,83.26,71,58,3.96,broken clouds
202,Killybegs,IE,54.6333,-8.45,50.0,87,90,8.05,overcast clouds
203,Agria,HU,47.9026,20.3733,32.92,63,2,5.41,clear sky
204,Nador,MA,35.174,-2.9287,57.2,44,0,3.44,clear sky
205,Oparino,RU,59.8518,48.2783,27.5,94,97,9.04,overcast clouds
206,Uyovu,TZ,-3.2833,31.5258,64.56,89,98,5.21,overcast clouds
207,Nouadhibou,MR,20.931,-17.0347,64.4,72,0,18.41,clear sky
208,Westport,US,41.1415,-73.3579,57.0,46,1,10.36,clear sky
209,Vila Velha,BR,-20.3297,-40.2925,87.01,74,0,10.36,clear sky
210,Sisimiut,GL,66.9395,-53.6735,9.52,92,100,15.73,light snow
211,Somerset East,ZA,-32.7217,25.588,55.76,83,0,6.93,clear sky
212,Marsh Harbour,BS,26.5412,-77.0636,73.51,64,0,12.35,clear sky
213,Khash,IR,28.2211,61.2158,56.23,11,0,2.37,clear sky
214,Coihaique,CL,-45.5752,-72.0662,64.4,55,40,8.05,scattered clouds
215,Beyneu,KZ,45.3167,55.2,38.28,63,8,9.17,clear sky
216,Jinka,ET,5.65,36.65,73.99,26,13,5.3,few clouds
217,Takoradi,GH,4.8845,-1.7554,79.39,84,100,11.79,light rain
218,Qaqortoq,GL,60.7167,-46.0333,23.0,54,40,4.61,scattered clouds
219,Manama,BH,26.2154,50.5832,73.4,53,0,6.91,clear sky
220,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.01,66,100,1.99,overcast clouds
221,Manacapuru,BR,-3.2997,-60.6206,87.8,62,40,3.44,scattered clouds
222,Pimentel,PE,-6.8367,-79.9342,80.6,57,0,16.11,clear sky
223,Arkhangelsk,RU,64.5401,40.5433,24.8,93,40,2.24,light snow
224,Harnosand,SE,62.6323,17.9379,43.0,93,20,2.3,few clouds
225,Dalhousie,IN,32.5333,75.9833,45.01,57,67,9.35,broken clouds
226,Pangody,RU,65.85,74.4859,2.35,98,99,5.57,overcast clouds
227,Black River,JM,18.0264,-77.8487,82.99,69,75,6.91,broken clouds
228,Porto Novo,BJ,6.4965,2.6036,82.4,78,40,10.36,scattered clouds
229,Goundi,TD,9.3627,17.366,91.45,33,91,9.91,overcast clouds
230,Penzance,GB,50.1186,-5.5371,48.0,81,75,4.61,broken clouds
231,Prado,BR,-17.3411,-39.2208,79.93,73,0,6.62,clear sky
232,Nadbai,IN,27.2333,77.2,75.76,32,100,6.29,overcast clouds
233,Kushmurun,KZ,52.4503,64.6311,2.91,99,73,4.16,broken clouds
234,Upernavik,GL,72.7868,-56.1549,-7.29,87,100,6.53,overcast clouds
235,Gat,IL,31.61,34.7642,77.0,47,97,1.01,overcast clouds
236,Grootfontein,NA,-19.5667,18.1167,69.8,83,99,2.3,light rain
